Institute;Continent;Country;University;StudyPeriod;Language;AcademicQuality;SocialQuality;ResidentialQuality;ReceptionQuality;Link;Subjects
SVT-PED - Pedagogisk institutt;Europe;Spania;Universidad De La Laguna;2011;Spansk;7;8;5;5;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10167;Pediatri!Gynekologi og obstetrikk
IVT-IMT - Institutt for marin teknikk;North America;USA;Texas A;2012;Engelsk;7;9;7;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10168;ECON202: Principles of Economics - Microeconomics!ECON203: Principles of Economics - Macroeconomics!ENDG407: Computer Design Graphics!CVEN688: Computational Fluid Dynamics!OCEN671: Ocean Wave Mechanics!CVEN333: Project Management for Engineers!CVEN750: Finite Element Applications in Structural Engineering!OCEN676: Dynamics of Offshore Structures
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;Bradford College;2001;Engelsk;6;5;5;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1017;learning and teching studies!art!music!design and technology!geography!history
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Østerrike;Fh Vorarlberg;2011;Engelsk;7;9;10;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10171;computer application!robotics!Focus mechanic!mechatronick project 5!enginering design
SVT-PSY - Psykologisk institutt;Europe;Danmark;Metropol;2011;Ukjent;6;8;7;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10177;Hjemmesykepleie!psykiatri
SVT-PSY - Psykologisk institutt;Europe;Spania;Universidad De Sevilla;2012;Spansk;7;7;10;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10179;Educación y Diversidad - Utdanning og mangfold!Procesos Psicologicos Básicos!Bases filosóficos y antropológicos de la Educación!Sociología General!Fundamentos básicos de Psicobiología!Didactica General!Teoría de la Educación!Historía de la Educación
SVT-GEO - Geografisk institutt;Europe;Storbritannia;Bradford College;2001;Engelsk;6;5;7;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1018;Art, music and design and technology!Learning and teaching studies!Geography!History
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Italia;University Of Bologna;2011;Engelsk;7;9;1;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10182;USA and Europe in the 20th century!Politics and institutions in the european union!Sociology of urban public places
IVT-IVM - Institutt for vann- og miljøteknikk;Europe;Spania;UPV;2012;Ukjent;3;9;8;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10183;Superior english!Español2 !Business Administration!Arts and Aestethics in Civil Engineering!River Engineering!Sanitary Engineering!Water recources and managment!Water Quality
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Sverige;KTH;2012;Engelsk;6;7;8;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10186;Sustainable design 24p!Alteration and presence 3p!Orientation course 3p
SVT-GEO - Geografisk institutt;Europe;Frankrike;Université De Pau Et Des Pays De L'Adour;2001;Fransk;7;9;7;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1019;Langue Francaise (DEUG 1)!Linguistique et Stylistique (DEUG 2)!Littérature générale et comparée (DEUG 2)!Littérautre générale et comparée (Licence)!Littérature Francaise (Licence)!Histoire et Civilisation (Licence)!Socrateskurs
SVT-PED - Pedagogisk institutt;Oceania;Australia;Queensland University Of Technology;2011;Engelsk;7;8;8;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10191;Civil Engineering Project Managment!Project Engineering 1!Australian Historical Studies!Management
